MSZoning;LotArea;Neighborhood;BldgType;OverallQual;OverallCond;YearBuilt;YearRemodAdd;RoofStyle;TotalBsmtSF;HeatingQC;CentralAir;GrLivArea;TotRmsAbvGrd;GarageCars;YrSold;SalePrice
RM;1953;BrDale;Twnhs;6;5;1973;1973;Gable;483;TA;Y;987;5;1;2006;83000
RL;7200;SWISU;1Fam;7;9;1936;2007;Gable;560;Ex;Y;1135;6;2;2009;155000
RL;10927;NridgHt;1Fam;8;5;2005;2005;Gable;1058;Ex;Y;1904;8;2;2006;275000
RL;3635;Blmngtn;TwnhsE;7;5;2007;2007;Hip;1386;Ex;Y;1569;7;3;2009;175900
RL;14230;NridgHt;1Fam;8;5;2007;2007;Gable;1566;Ex;Y;1600;7;3;2009;256300
RM;8235;OldTown;1Fam;5;7;1955;1995;Gable;825;TA;Y;825;4;2;2008;125000
RM;10800;OldTown;1Fam;4;7;1885;1995;Mansard;641;Gd;Y;1047;6;1;2007;100000
RL;5000;BrkSide;1Fam;1;3;1946;1950;Gable;0;Fa;N;334;2;0;2007;39300
RL;21750;Mitchel;1Fam;5;5;1954;1954;Hip;988;Ex;Y;988;4;2;2008;113000
RL;12677;NridgHt;TwnhsE;8;5;2003;2004;Hip;1518;Ex;Y;1518;6;2;2008;274000
RL;11194;Gilbert;1Fam;8;5;2000;2000;Gable;1406;Ex;Y;1936;7;2;2006;230500
RL;9400;Mitchel;Duplex;6;5;1971;1971;Mansard;912;TA;Y;1824;8;0;2010;139000
RL;9245;CollgCr;1Fam;5;5;1994;1995;Gable;990;Ex;Y;990;5;2;2008;145000
RL;10395;NWAmes;1Fam;6;6;1978;1978;Gable;1032;TA;Y;1032;6;2;2007;148000
RL;14175;Sawyer;1Fam;5;6;1956;1987;Gable;1188;Gd;Y;1437;6;2;2006;168000
RL;6171;SWISU;1Fam;6;6;1925;1990;Gable;976;Ex;Y;1608;7;1;2009;137450
RL;8445;CollgCr;1Fam;5;7;1972;2007;Gable;768;TA;Y;768;5;2;2009;133000
RL;16157;Veenker;1Fam;5;7;1978;1978;Gable;1360;Ex;Y;1432;5;2;2007;194000
RL;7500;Gilbert;1Fam;7;5;1999;1999;Gable;994;Gd;Y;1804;7;2;2010;189000
RL;13175;NWAmes;1Fam;6;6;1978;1988;Gable;1542;TA;Y;2073;7;2;2010;210000
RL;7930;NAmes;1Fam;6;8;1969;2005;Gable;1026;Gd;Y;1026;5;2;2009;156000
RM;7200;OldTown;1Fam;7;7;1920;1950;Hip;596;Ex;Y;1762;8;2;2006;157000
RL;7851;Gilbert;1Fam;6;5;2002;2002;Gable;860;Ex;Y;1960;8;2;2010;216500
RL;7943;Sawyer;1Fam;4;5;1961;1961;Gable;1029;Gd;Y;1029;5;1;2007;118500
RL;7800;Edwards;1Fam;5;8;1948;2002;Gable;896;Ex;Y;2008;8;1;2006;225000
RL;16466;Edwards;1Fam;5;7;1955;1955;Gable;816;TA;Y;1393;8;1;2008;135500
RM;4435;CollgCr;TwnhsE;6;5;2003;2003;Gable;848;Ex;Y;848;4;2;2009;140000
RM;4426;CollgCr;TwnhsE;6;5;2004;2004;Gable;848;Ex;Y;848;3;2;2008;141000
RM;8930;Sawyer;Duplex;6;5;1978;1978;Gable;0;TA;Y;1902;8;2;2010;112000
RM;4435;CollgCr;TwnhsE;6;5;2003;2004;Gable;848;Ex;Y;848;4;2;2009;144000
RL;10530;NAmes;1Fam;6;5;1971;1971;Hip;981;TA;Y;981;5;2;2007;143250
RL;9100;NAmes;1Fam;6;6;1959;1959;Hip;864;Ex;Y;864;5;1;2009;127500
RL;8800;CollgCr;1Fam;5;7;1977;2008;Gable;1040;TA;Y;1040;5;2;2009;150500
FV;12552;Somerst;1Fam;7;5;2004;2005;Gable;991;Ex;Y;1947;8;2;2010;254900
RL;12400;NAmes;1Fam;6;7;1958;1998;Hip;1215;TA;Y;1215;6;1;2009;155000
RL;21384;BrkSide;1Fam;5;6;1923;2004;Gable;1324;Ex;Y;1576;6;2;2009;223500
RL;11700;NWAmes;1Fam;6;6;1968;1968;Gable;708;Gd;Y;1416;7;2;2006;179900
RL;13837;NWAmes;1Fam;7;5;1988;1988;Gable;1204;Gd;Y;2183;9;3;2006;229000
RL;11000;NAmes;1Fam;5;6;1966;1966;Gable;1154;Ex;Y;1154;6;2;2009;154000
RL;13101;NAmes;Duplex;5;5;1965;1965;Gable;1728;TA;Y;1728;10;2;2008;142600
RL;10624;NAmes;Duplex;5;4;1964;1964;Gable;1728;TA;Y;1728;10;1;2007;119000
RL;9600;Veenker;1Fam;6;7;1976;1994;Hip;528;Ex;Y;1855;7;2;2007;187000
RL;8314;Mitchel;1Fam;5;7;1982;1982;Gable;816;TA;Y;816;5;1;2007;124500
RL;13450;CollgCr;1Fam;7;5;2002;2002;Gable;916;Ex;Y;1861;8;2;2006;200000
RM;12702;OldTown;1Fam;5;5;1956;1956;Gable;0;Gd;Y;882;4;1;2008;97000
RL;8777;Edwards;1Fam;4;5;1949;2003;Gable;0;Ex;Y;1126;5;2;2009;108000
RL;11249;CollgCr;1Fam;6;5;1995;1995;Gable;1200;Ex;Y;1200;6;2;2007;177500
RL;20781;NWAmes;1Fam;7;7;1968;2003;Hip;1568;TA;Y;2156;9;2;2006;262500
RL;8400;SWISU;1Fam;5;8;1939;1997;Gable;720;Ex;Y;2192;8;1;2008;179500
RL;9066;CollgCr;1Fam;8;5;1999;2000;Gable;1004;Ex;Y;1852;7;3;2008;230000
RL;8462;SawyerW;1Fam;6;5;1994;1994;Gable;928;Ex;Y;1721;7;2;2007;201000
RL;9248;Gilbert;1Fam;6;6;1992;1992;Gable;1158;Gd;Y;1167;6;2;2009;173000
RL;6853;Timber;1Fam;8;5;2001;2002;Gable;1267;Ex;Y;1296;6;2;2009;220000
RL;8176;NAmes;1Fam;5;6;1958;1992;Gable;1056;Fa;Y;1056;6;1;2007;139000
RL;13474;SawyerW;1Fam;7;5;1990;1991;Gable;700;Gd;Y;2243;8;3;2007;225000
RM;3600;OldTown;1Fam;6;7;1910;1993;Gable;684;Ex;N;1368;7;1;2006;114504
RL;11700;NWAmes;1Fam;6;6;1968;1968;Gable;727;Ex;Y;1556;8;2;2009;154000
RL;10205;NAmes;1Fam;5;5;1962;1962;Gable;925;TA;Y;999;6;1;2006;134500
RL;9135;CollgCr;1Fam;6;5;2003;2003;Gable;1682;Ex;Y;1700;7;2;2006;200000
RL;13173;NridgHt;1Fam;9;5;2006;2007;Hip;1652;Ex;Y;1652;6;2;2009;325000
FV;7500;Somerst;1Fam;7;5;2005;2005;Gable;1257;Ex;Y;1266;6;2;2006;176000
RL;7200;CollgCr;1Fam;5;5;1972;1972;Hip;894;TA;Y;894;6;2;2009;123000
RL;8475;NAmes;1Fam;4;7;1956;1956;Gable;952;Ex;Y;952;4;1;2008;135750
RL;8738;Gilbert;1Fam;7;5;1999;1999;Gable;975;Ex;Y;2291;8;2;2006;230000
RL;7200;NAmes;1Fam;5;5;1950;1950;Hip;0;Gd;Y;1048;7;2;2008;98300
RL;8400;NAmes;1Fam;5;6;1957;1957;Gable;1314;TA;Y;1314;5;1;2010;145000
RL;9320;NAmes;1Fam;4;5;1959;1959;Gable;950;Fa;Y;1225;6;0;2010;128950
RM;1890;MeadowV;Twnhs;4;7;1972;1972;Gable;630;Gd;Y;630;3;0;2008;81000
RL;25339;Sawyer;1Fam;5;7;1918;2007;Gable;816;Ex;Y;1416;7;2;2007;112000
RL;8471;Sawyer;1Fam;6;7;1977;1995;Gable;506;TA;Y;1212;6;2;2006;151000
RL;9842;NAmes;Duplex;4;5;1962;1962;Gable;0;TA;Y;1224;6;2;2007;101800
RM;2665;MeadowV;TwnhsE;5;6;1976;1976;Gable;264;TA;Y;1304;4;1;2008;115000
RL;11345;NAmes;Duplex;5;5;1948;1950;Gable;928;Gd;Y;1920;10;2;2007;137000
RL;5362;Crawfor;1Fam;5;6;1910;2003;Gable;661;Ex;Y;1250;8;2;2007;139000
RL;9549;Veenker;TwnhsE;8;5;1995;1996;Hip;1494;Ex;Y;1494;6;2;2006;270000
RL;10120;NoRidge;1Fam;8;5;1994;1994;Hip;1165;Ex;Y;2526;8;3;2006;290000
RL;25286;Mitchel;1Fam;4;5;1963;1963;Gable;1064;Gd;Y;1040;5;2;2007;132250
RL;7875;Gilbert;1Fam;7;5;1995;1996;Gable;1237;Gd;Y;1253;6;2;2007;176000
RL;13651;NAmes;1Fam;7;6;1973;1973;Gable;2223;Ex;Y;2223;8;2;2007;244000
RM;4224;MeadowV;TwnhsE;5;7;1976;1976;Gable;1040;TA;Y;1060;6;2;2007;129900
RM;5436;IDOTRR;1Fam;4;8;1922;2007;Gable;796;Gd;Y;1154;7;1;2010;125500
RL;13360;Crawfor;1Fam;5;7;1921;2006;Gable;876;Ex;Y;964;5;2;2009;163500
RL;16033;NridgHt;1Fam;9;5;2004;2005;Hip;1833;Ex;Y;1850;8;3;2006;326000
RL;11287;SawyerW;1Fam;7;6;1989;1989;Gable;807;Gd;Y;1982;7;2;2007;228500
RL;17542;Veenker;1Fam;7;7;1974;2003;Gable;1192;TA;Y;2167;9;2;2007;294000
RL;8212;Edwards;1Fam;3;3;1914;1950;Gable;864;TA;N;864;5;1;2010;58500
RL;11120;Veenker;1Fam;6;6;1984;1984;Gable;1232;TA;Y;1232;6;2;2008;162500
RL;9000;Sawyer;1Fam;5;3;1959;1959;Gable;1006;TA;Y;1006;5;0;2008;80000
RL;8121;Gilbert;1Fam;6;5;2000;2000;Gable;953;Ex;Y;1664;7;2;2006;172400
RM;7758;IDOTRR;1Fam;7;4;1931;1950;Gable;1040;Ex;Y;1818;7;1;2007;169500
RM;8520;OldTown;1Fam;5;6;1923;2006;Gable;968;TA;Y;968;5;2;2007;100000
RL;6204;SWISU;1Fam;4;5;1912;1950;Gable;795;TA;N;2230;10;1;2006;118500
RH;6270;Crawfor;Duplex;5;6;1949;1950;Gable;1001;TA;N;2002;8;3;2007;145000
RL;6951;Mitchel;1Fam;5;5;1984;1985;Gable;876;TA;Y;923;5;1;2008;119500
RL;45600;ClearCr;1Fam;6;8;1908;1997;Gable;907;TA;Y;2358;10;2;2008;240000
RL;10769;CollgCr;1Fam;8;5;2007;2007;Gable;866;Ex;Y;1768;7;2;2009;212000
RL;13501;Somerst;1Fam;8;5;2006;2006;Gable;1623;Ex;Y;1636;8;3;2007;255000
RL;10625;NridgHt;1Fam;7;5;2003;2004;Gable;998;Ex;Y;2046;8;3;2008;284000
RL;9196;Mitchel;1Fam;7;5;2003;2003;Gable;1560;Ex;Y;1560;7;2;2010;201000
RL;9042;Gilbert;1Fam;6;5;1998;1998;Gable;943;Gd;Y;1638;7;2;2008;192000
RL;14364;SawyerW;1Fam;7;5;1988;1989;Gable;1157;Ex;Y;2062;7;2;2007;277000
RL;10400;NWAmes;1Fam;7;6;1970;1970;Hip;1304;Gd;Y;1682;7;2;2008;174000
RL;8935;CollgCr;1Fam;7;5;2002;2002;Gable;831;Ex;Y;1660;7;2;2009;195000
RL;9500;NAmes;1Fam;6;6;1964;1978;Gable;816;TA;Y;1977;9;2;2007;165000
RL;6600;Mitchel;1Fam;5;9;1982;2008;Gable;816;Ex;Y;816;5;1;2008;130500
FV;3230;Somerst;TwnhsE;6;5;1999;1999;Gable;729;Gd;Y;1458;5;2;2007;176000
RL;10762;SawyerW;TwnhsE;6;6;1980;1980;Gable;626;TA;Y;1217;6;1;2009;120000
RL;12461;NoRidge;1Fam;8;5;1994;1995;Gable;1624;Ex;Y;1624;5;3;2006;262000
RL;4671;StoneBr;TwnhsE;8;5;1988;1989;Gable;1228;Gd;Y;1228;5;2;2008;189000
RL;10998;Edwards;1Fam;5;5;1941;1960;Gable;984;Ex;Y;1604;6;2;2009;117000
RM;6155;BrkSide;1Fam;6;8;1920;1999;Gable;611;Ex;Y;1362;6;2;2008;128000
RL;11409;Edwards;1Fam;5;4;1949;2008;Gable;768;Gd;Y;1716;8;1;2009;131000
RL;8777;Edwards;Duplex;5;7;1900;2003;Gable;1272;Gd;Y;2200;9;0;2008;145900
RM;12150;OldTown;1Fam;5;5;1954;1954;Gable;1050;Ex;N;1795;7;1;2008;131500
RL;12376;SawyerW;1Fam;7;5;1990;1990;Hip;1673;Gd;Y;3222;11;3;2010;320000
RL;7700;NAmes;1Fam;6;5;1966;1966;Gable;756;TA;Y;1839;7;2;2010;155000
RL;16635;NWAmes;1Fam;6;7;1977;2000;Gable;1602;Gd;Y;1602;8;2;2009;215000
RL;11782;Sawyer;1Fam;5;7;1961;1995;Gable;1109;TA;Y;1155;6;2;2010;148000
RL;6292;SWISU;1Fam;6;5;1930;1950;Gable;768;TA;N;790;4;1;2008;91000
RL;10944;NoRidge;1Fam;7;5;1994;1994;Gable;1223;Ex;Y;2127;5;2;2008;271000
RL;21453;ClearCr;1Fam;6;5;1969;1969;Flat;938;Ex;Y;988;4;2;2006;180000
RL;12227;NWAmes;1Fam;6;7;1977;1995;Gable;1330;TA;Y;2872;11;2;2008;272000
RL;7200;NAmes;1Fam;5;7;1950;1950;Hip;0;TA;Y;1040;5;2;2006;109500
RL;14303;NoRidge;1Fam;8;5;1994;1994;Hip;1986;Ex;Y;1987;7;2;2008;301500
RL;8200;CollgCr;1Fam;7;5;2003;2004;Gable;847;Ex;Y;1928;8;2;2007;219500
RL;19900;NAmes;1Fam;7;5;1970;1989;Gable;1947;TA;Y;2207;7;2;2010;180000
RL;7590;NAmes;1Fam;6;5;1966;1966;Gable;660;TA;Y;1348;6;2;2006;155000
RL;13006;Gilbert;1Fam;7;5;1997;1997;Gable;964;Gd;Y;2236;8;2;2006;222000
FV;2544;Somerst;Twnhs;7;5;2005;2005;Gable;600;Ex;Y;1223;4;2;2006;147400
RL;11310;NAmes;1Fam;6;5;1954;1954;Hip;1367;Ex;Y;1375;5;2;2006;140000
RL;11999;NridgHt;1Fam;8;5;2003;2004;Hip;1181;Ex;Y;2374;10;3;2007;285000
RL;9828;SawyerW;1Fam;8;5;1995;1995;Gable;1128;Ex;Y;2020;8;2;2009;239500
RL;11362;NridgHt;1Fam;8;5;2004;2005;Gable;1836;Ex;Y;1836;7;3;2009;280000
RM;3964;MeadowV;TwnhsE;6;4;1973;1973;Gable;942;Gd;Y;2521;10;2;2006;151400
RL;8544;NAmes;Duplex;3;4;1950;1950;Gable;0;Fa;N;1040;6;2;2009;92900
RL;7577;NridgHt;TwnhsE;6;5;2005;2006;Gable;1362;Ex;Y;1362;6;2;2007;194700
RL;9060;Edwards;1Fam;5;6;1957;2006;Hip;0;Ex;Y;1340;7;1;2007;120000
RM;6000;OldTown;2fmCon;5;4;1954;1954;Gable;811;TA;Y;1387;7;1;2009;93000
RL;8400;SWISU;1Fam;6;5;1940;2000;Gable;940;Ex;Y;1595;6;1;2006;140000
RL;8049;Timber;1Fam;7;5;1990;1990;Hip;1309;TA;Y;1339;6;2;2006;180000
RM;6324;BrkSide;1Fam;4;6;1927;1950;Gable;520;Fa;N;520;4;1;2008;68500
RL;21872;Gilbert;1Fam;7;5;1996;1997;Gable;729;Ex;Y;1446;6;2;2008;175000
RM;7800;OldTown;2fmCon;5;7;1939;1950;Gable;793;TA;Y;1118;5;2;2006;119900
RL;10452;Edwards;1Fam;6;5;1953;1953;Hip;1094;Ex;Y;1094;5;2;2008;155000
RL;9340;Edwards;1Fam;4;6;1941;1950;Hip;672;TA;Y;672;4;1;2009;113000
RL;12508;Mitchel;1Fam;6;7;1940;1985;Gable;983;Ex;Y;1750;7;1;2008;160000
RL;8712;NAmes;1Fam;5;7;1957;2000;Hip;992;TA;Y;1306;5;1;2009;153000
RL;8250;Sawyer;1Fam;5;5;1968;1968;Hip;952;Ex;Y;1211;5;1;2008;134000
RL;5900;BrkSide;1Fam;4;7;1923;1958;Gable;440;TA;Y;869;4;0;2006;85500
RL;7244;Mitchel;1Fam;5;7;1970;1970;Gable;768;Ex;Y;768;5;2;2007;129500
RL;3136;NridgHt;TwnhsE;7;5;2003;2003;Gable;1405;Ex;Y;1405;6;2;2006;171750
RL;11643;NAmes;Duplex;5;5;1969;1969;Gable;1248;TA;Y;2634;12;4;2009;200000
RL;7415;Gilbert;1Fam;6;5;2004;2004;Gable;839;Ex;Y;1593;8;2;2008;193000
RL;13869;Gilbert;1Fam;6;6;1997;1997;Gable;794;Gd;Y;1470;6;2;2007;177000
RL;9492;NAmes;1Fam;5;5;1941;1950;Gable;768;TA;Y;1376;6;1;2007;105000
RL;7388;NAmes;1Fam;5;6;1959;2002;Gable;1063;Gd;Y;1327;7;2;2007;150750
RL;10400;NWAmes;1Fam;7;5;1988;1988;Gable;1845;Gd;Y;1872;6;2;2006;241500
RM;4435;CollgCr;TwnhsE;6;5;2003;2003;Gable;848;Ex;Y;848;3;2;2007;131500
RL;11478;NridgHt;1Fam;8;5;2007;2008;Gable;1704;Ex;Y;1704;7;3;2010;306000
RL;11075;Mitchel;1Fam;5;4;1969;1969;Gable;784;Ex;Y;1968;7;2;2008;172000
RL;16560;Crawfor;1Fam;6;8;1932;1950;Gable;952;TA;Y;2345;9;2;2006;239000
RM;4438;CollgCr;TwnhsE;6;5;2004;2004;Gable;848;Ex;Y;848;3;2;2008;149000
RL;10240;NridgHt;1Fam;8;5;2005;2005;Gable;1030;Gd;Y;2098;8;3;2006;275500
RL;13031;Gilbert;1Fam;6;5;1995;1996;Gable;691;Gd;Y;1498;6;2;2006;187500
RL;9900;NWAmes;1Fam;7;5;1968;1968;Gable;832;Gd;Y;1978;9;2;2008;176000
RL;13526;Sawyer;1Fam;5;6;1965;1965;Hip;935;TA;Y;935;5;1;2006;137000
RL;35133;Timber;1Fam;5;4;1963;1963;Hip;1572;Gd;Y;1572;5;3;2007;186700
RM;4435;CollgCr;TwnhsE;6;5;2004;2004;Gable;848;Ex;Y;848;3;2;2006;155900
FV;7500;Somerst;1Fam;7;5;2004;2005;Gable;1221;Ex;Y;1221;6;2;2009;185000
RL;11841;Edwards;Duplex;6;5;1990;1990;Gable;816;TA;Y;816;5;0;2007;118500
RL;5000;SWISU;1Fam;5;6;1924;1950;Gable;1026;TA;Y;1691;6;1;2010;127000
RL;9600;NAmes;1Fam;6;5;1953;1953;Hip;1416;TA;Y;1644;7;2;2009;167000
FV;10574;Somerst;1Fam;8;5;2005;2006;Gable;1082;Ex;Y;1953;9;3;2009;252000
RL;8072;CollgCr;1Fam;5;5;1994;1995;Gable;990;Ex;Y;990;5;2;2009;138000
RL;13650;Sawyer;1Fam;5;5;1958;1958;Gable;1052;Ex;Y;1920;8;2;2006;172500
RL;9591;NridgHt;1Fam;8;5;2004;2005;Gable;1143;Ex;Y;2473;9;3;2007;317000
RL;15865;NAmes;1Fam;8;6;1970;1970;Flat;2217;Ex;Y;2217;8;2;2007;268000
RM;4400;OldTown;1Fam;6;8;1920;1950;Gable;648;TA;Y;1118;6;2;2006;116000
RL;8158;CollgCr;1Fam;7;5;2003;2003;Gable;884;Ex;Y;1768;8;2;2008;224900
RL;13286;Edwards;1Fam;9;5;2007;2008;Hip;1698;Ex;Y;1698;8;3;2009;320000
RL;15523;CollgCr;1Fam;5;6;1972;1972;Gable;864;Ex;Y;864;5;1;2009;133500
RL;8123;Gilbert;1Fam;6;5;2000;2000;Gable;982;Ex;Y;1800;7;2;2009;179000
RL;7990;CollgCr;1Fam;5;6;1975;1975;Hip;924;TA;Y;924;5;1;2008;110000
RL;2289;NPkVill;Twnhs;6;6;1978;1978;Gable;855;TA;Y;1441;7;2;2009;148500
RL;10921;Edwards;1Fam;4;5;1965;1965;Hip;960;TA;Y;960;6;1;2007;94750
RL;8400;Sawyer;1Fam;6;5;1966;1966;Gable;814;Gd;Y;913;6;1;2007;129000
RL;12692;NoRidge;1Fam;8;5;1992;1993;Hip;3200;Ex;Y;3228;10;2;2007;430000
RM;5000;IDOTRR;1Fam;5;6;1941;1950;Gable;720;Po;N;803;5;2;2007;87000
RL;9084;Gilbert;1Fam;7;5;1998;1998;Hip;935;Gd;Y;1632;8;2;2006;176500
RL;7599;Mitchel;1Fam;4;6;1982;2006;Gable;845;TA;Y;845;4;2;2007;129500
RM;6000;BrkSide;1Fam;5;8;1925;1997;Gable;884;Ex;Y;1348;5;1;2009;117000
RL;10356;CollgCr;1Fam;5;6;1975;1975;Gable;969;TA;Y;969;5;2;2007;122000
RL;10780;CollgCr;1Fam;5;5;1976;1976;Gable;911;Gd;Y;954;6;2;2006;132500
RL;10171;NridgHt;1Fam;7;5;2004;2004;Gable;1517;Ex;Y;1535;7;2;2010;214000
RL;11553;Sawyer;1Fam;5;5;1968;1968;Hip;1051;TA;Y;1159;7;1;2006;158000
RM;9000;IDOTRR;1Fam;6;6;1937;1950;Gable;780;TA;Y;1375;6;1;2007;141000
RL;12936;NWAmes;1Fam;6;6;1972;1972;Gable;723;TA;Y;1395;6;2;2009;162000
RL;13688;NridgHt;1Fam;9;5;2003;2004;Gable;1572;Ex;Y;2668;10;3;2008;412500
FV;2572;Somerst;Twnhs;7;5;1999;1999;Hip;696;Ex;Y;1416;6;2;2010;155000
RL;10364;Gilbert;1Fam;6;5;1995;1996;Gable;806;Gd;Y;1572;7;2;2007;168000
RL;14963;Veenker;TwnhsE;8;5;1996;1996;Gable;1260;Ex;Y;1288;4;2;2008;245500
RL;9098;Edwards;1Fam;4;7;1920;2002;Gable;528;Ex;Y;605;5;0;2007;86000
RL;3013;Blmngtn;TwnhsE;7;5;2005;2005;Gable;1362;Ex;Y;1506;6;2;2006;213490
RM;5310;OldTown;1Fam;6;8;1910;2003;Hip;485;Gd;Y;1635;5;1;2006;117000
RL;5400;OldTown;1Fam;5;7;1954;2000;Gable;833;Ex;Y;833;4;1;2006;117000
RL;13704;CollgCr;1Fam;7;5;2001;2002;Gable;1541;Ex;Y;1541;6;3;2006;205000
RL;12416;Timber;1Fam;6;5;1986;1986;Gable;1606;TA;Y;1651;7;2;2008;184000
RM;6120;BrkSide;1Fam;5;6;1936;1950;Gable;927;TA;Y;1539;5;2;2009;141500
RL;11146;NridgHt;1Fam;8;5;2006;2006;Gable;1709;Ex;Y;1717;7;3;2009;255500
RL;7024;Edwards;1Fam;5;5;2005;2006;Gable;1090;Gd;Y;1090;5;2;2007;157000
RL;21750;Mitchel;1Fam;5;4;1960;2006;Hip;0;TA;Y;1771;9;2;2009;115000
RL;7259;Crawfor;1Fam;6;8;1945;2002;Gambrel;1028;Ex;Y;2320;9;1;2007;259500
RL;15138;NoRidge;1Fam;8;5;1995;1996;Gable;1462;Ex;Y;2794;9;3;2009;403000
RL;8400;CollgCr;1Fam;7;5;2004;2005;Gable;1473;Ex;Y;1484;7;2;2010;213000
RL;6173;Sawyer;1Fam;5;6;1967;1967;Gable;876;TA;Y;902;6;1;2007;125500
RL;7200;NAmes;1Fam;5;7;1950;1950;Gable;876;TA;Y;988;6;1;2007;119000
RL;6820;StoneBr;TwnhsE;8;5;1985;1985;Gable;1488;TA;Y;1502;4;2;2010;212000
RL;12665;Timber;1Fam;8;5;2005;2006;Hip;1094;Ex;Y;2482;9;3;2007;281213
RL;8405;Edwards;1Fam;4;3;1945;1950;Gable;0;TA;N;1529;9;1;2009;98000
RL;11883;CollgCr;1Fam;7;5;1996;1996;Hip;1504;Ex;Y;1504;6;2;2009;203000
RL;8780;Mitchel;1Fam;5;5;1985;1985;Gable;833;Ex;Y;833;5;0;2009;112000
RL;12243;NWAmes;1Fam;5;6;1971;1971;Gable;1484;Gd;Y;1484;7;2;2007;175000
RM;6000;BrkSide;1Fam;6;7;1926;2004;Gable;884;Gd;Y;904;4;1;2009;119000
RL;18890;Sawyer;Duplex;5;5;1977;1977;Shed;1361;Ex;Y;2620;12;2;2007;190000
RM;10440;OldTown;1Fam;5;8;1904;2002;Gable;650;Gd;Y;1539;8;2;2008;157500
